condition,sample,SRA_sample_ID,tech_Lane,R1,R2
01Gy_0U,01Gy_100U_1,WGBS_At_10cGy_72h_100U_Rep1,Lane2,WGBS_At_10cGy_72h_100U_1_R1_L002.fastq.gz,WGBS_At_10cGy_72h_100U_1_R2_L002.fastq.gz
01Gy_0U,01Gy_100U_1,WGBS_At_10cGy_72h_100U_Rep1,Lane3,WGBS_At_10cGy_72h_100U_1_R1_L003.fastq.gz,WGBS_At_10cGy_72h_100U_1_R2_L003.fastq.gz
01Gy_0U,01Gy_100U_2,WGBS_At_10cGy_72h_100U_Rep2,Lane1,WGBS_At_10cGy_72h_100U_2_R1_L001.fastq.gz,WGBS_At_10cGy_72h_100U_2_R2_L001.fastq.gz
01Gy_0U,01Gy_100U_2,WGBS_At_10cGy_72h_100U_Rep2,Lane2,WGBS_At_10cGy_72h_100U_2_R1_L002.fastq.gz,WGBS_At_10cGy_72h_100U_2_R2_L002.fastq.gz
01Gy_0U,01Gy_100U_2,WGBS_At_10cGy_72h_100U_Rep2,Lane3,WGBS_At_10cGy_72h_100U_2_R1_L003.fastq.gz,WGBS_At_10cGy_72h_100U_2_R2_L003.fastq.gz
22C_0U,22C_0U_1,WGBS_Cold_22C_0U_GCmethyl_Rep1,Lane1,WGBS_22_0U_1_R1_L001.fastq.gz,WGBS_22_0U_1_R2_L001.fastq.gz
22C_0U,22C_0U_1,WGBS_Cold_22C_0U_GCmethyl_Rep1,Lane2,WGBS_22_0U_1_R1_L002.fastq.gz,WGBS_22_0U_1_R2_L002.fastq.gz
22C_0U,22C_0U_1,WGBS_Cold_22C_0U_GCmethyl_Rep1,Lane3,WGBS_22_0U_1_R1_L003.fastq.gz,WGBS_22_0U_1_R2_L003.fastq.gz
22C_0U,22C_0U_1,WGBS_Cold_22C_0U_GCmethyl_Rep1,Lane4,WGBS_22_0U_1_R1_L004.fastq.gz,WGBS_22_0U_1_R2_L004.fastq.gz
22C_0U,22C_0U_1,WGBS_Cold_22C_0U_GCmethyl_Rep1,Lane5,WGBS_22_0U_1_R1_L005.fastq.gz,WGBS_22_0U_1_R2_L005.fastq.gz
